@relation housing_train_cleaned_excel

@attribute id numeric
@attribute region {birmingham,'huntsville / decatur',dothan,mobile,montgomery,'florence / muscle shoals',gadsden-anniston,tuscaloosa,'anchorage / mat-su',fairbanks,phoenix,'flagstaff / sedona',tucson,'little rock',prescott,yuma,fayetteville,bakersfield,texarkana,'fresno / madera',hanford-corcoran,'humboldt county','inland empire','los angeles','kenai peninsula','mohave county','southeast alaska','fort smith',jonesboro,'show low','gold country','sierra vista',chico,'imperial county',boulder,modesto,'orange county','mendocino county',merced,'palm springs','reno / tahoe','monterey bay',redding,sacramento,'san diego','san luis obispo','santa barbara','SF bay area',stockton,'ventura county',susanville,'colorado springs','new hampshire',cincinnati,'north dakota','akron / canton',bismarck,'grand forks',columbus,'dayton / springfield',cleveland,'lima / findlay',toledo,'northern panhandle','oklahoma city','zanesville / cambridge',ashtabula,lawton,chillicothe,texoma,tulsa,bend,corvallis/albany,'tuscarawas co','east oregon',eugene,medford-ashland,'oregon coast',portland,mansfield,stillwater,athens,parkersburg-marietta}
@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit','laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand numeric
@attribute latitude numeric
@attribute long numeric
@attribute state {al,ak,az,ar,ca,co,nh,oh,nd,ok,or}

@data
7041818619,birmingham,875,house,1050,3,2,0,0,1,0,0,0,?,?,1,33.6493,-86.7057,al
7041292883,birmingham,765,apartment,802,1,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041816630,birmingham,950,apartment,770,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',1,33.4772,-86.7885,al
7041812435,birmingham,1195,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041811310,birmingham,785,apartment,1047,2,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041813181,birmingham,765,apartment,803,1,1,0,0,1,0,0,0,?,?,1,33.4326,-86.7055,al
7041811494,birmingham,765,apartment,802,1,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041811652,birmingham,1165,apartment,1572,3,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041811422,birmingham,925,apartment,1418,2,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041807393,birmingham,879,apartment,984,2,2,1,0,1,0,0,0,'w/d hookups',?,1,33.3125,-86.815,al
7039061420,birmingham,765,apartment,802,1,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7040396785,birmingham,1120,apartment,1319,3,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7040396751,birmingham,840,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7037619342,birmingham,805,apartment,1056,2,2,1,1,1,0,0,0,'laundry on site',?,1,33.3942,-86.8025,al
7039113495,birmingham,1046,apartment,1285,2,2,1,1,1,1,0,0,'w/d hookups',?,1,33.4299,-86.7283,al
7041776825,birmingham,1134,apartment,1360,2,2,1,1,0,0,0,0,?,'off-street parking',1,33.4188,-86.7867,al
7041776815,birmingham,1134,apartment,1360,2,2,1,1,0,0,0,0,?,'off-street parking',1,33.4188,-86.7867,al
7041776800,birmingham,1134,apartment,1360,2,2,1,1,0,0,0,0,?,'off-street parking',1,33.4188,-86.7867,al
7036783084,birmingham,1010,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7040396780,birmingham,840,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7039112125,birmingham,1055,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041639656,birmingham,1000,house,1345,4,1,1,1,1,0,0,0,'w/d in unit',?,1,33.6199,-86.6981,al
7040396794,birmingham,1060,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7040405628,birmingham,1086,apartment,1285,2,2,1,1,1,1,0,0,'w/d hookups',?,1,33.4299,-86.7283,al
7039112166,birmingham,815,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041600474,birmingham,1122,apartment,1107,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',1,33.4816,-86.859,al
7041591940,birmingham,1300,condo,950,2,1,1,1,0,0,0,0,'w/d in unit','off-street parking',1,33.5068,-86.7872,al
7041579416,birmingham,1070,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',1,33.3755,-86.8045,al
7041580673,birmingham,925,apartment,1350,2,2,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
7041580601,birmingham,790,apartment,927,1,1,1,1,1,0,0,0,'laundry on site','street parking',1,33.4226,-86.7065,al
